listing_id,description,room_type,price,nbhood_full,host_name,last_review
2595,Skylit Midtown Castle,Entire home/apt,$225,"Manhattan, Midtown",Jennifer,2019-05-21
3831,Cozy Entire Floor of Brownstone,Entire home/apt,$89,"Brooklyn, Clinton Hill",LisaRoxanne,2019-07-05
5099,Large Cozy 1 BR Apartment In Midtown East,Entire home/apt,$200,"Manhattan, Murray Hill",Chris,2019-06-22
5178,Large Furnished Room Near B'way,private room,$79,"Manhattan, Hell's Kitchen",Shunichi,2019-06-24
5238,Cute & Cozy Lower East Side 1 bdrm,Entire home/apt,$150,"Manhattan, Chinatown",Ben,2019-06-09
5295,Beautiful 1br on Upper West Side,Entire home/apt,$135,"Manhattan, Upper West Side",Lena,2019-06-22
5441,Central Manhattan/near Broadway,Private room,$85,"Manhattan, Hell's Kitchen",Kate,2019-06-23
5803,"Lovely Room 1, Garden, Best Area, Legal rental",Private room,$89,"Brooklyn, South Slope",Laurie,2019-06-24
6021,Wonderful Guest Bedroom in Manhattan for SINGLES,Private room,$85,"Manhattan, Upper West Side",Claudio,2019-07-05
6848,Only 2 stops to Manhattan studio,entire home/apt,$140,"Brooklyn, Williamsburg",Allen & Irina,2019-06-29
7097,Perfect for Your Parents + Garden,Entire home/apt,$215,"Brooklyn, Fort Greene",Jane,2019-06-28
7322,Chelsea Perfect,Private room,$140,"Manhattan, Chelsea",Doti,2019-07-01
7726,Hip Historic Brownstone Apartment with Backyard,Entire home/apt,$99,"Brooklyn, Crown Heights",Adam And Charity,2019-06-22
8024,CBG CtyBGd HelpsHaiti rm#1:1-4,PRIVATE ROOM,$130,"Brooklyn, Park Slope",Lisel,2019-07-01
8025,CBG Helps Haiti Room#2.5,PRIVATE ROOM,$80,"Brooklyn, Park Slope",Lisel,2019-01-01
8110,CBG Helps Haiti Rm #2,Private room,$110,"Brooklyn, Park Slope",Lisel,2019-07-02
8490,"MAISON DES SIRENES1,bohemian apartment",Entire home/apt,$120,"Brooklyn, Bedford-Stuyvesant",Nathalie,2019-06-19
8505,Sunny Bedroom Across Prospect Park,Private room,$60,"Brooklyn, Windsor Terrace",Gregory,2019-06-23
9518,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",PRIVATE ROOM,$44,"Manhattan, Inwood",Shon,2019-06-15
9657,Modern 1 BR / NYC / EAST VILLAGE,entire home/apt,$180,"Manhattan, East Village",Dana,2019-04-19
9668,front room/double bed,PRIVATE ROOM,$50,"Manhattan, Harlem",Ssameer Or Trip,2019-06-01
9704,Spacious 1 bedroom in luxe building,Private room,$52,"Manhattan, Harlem",Teri,2019-06-14
9782,Loft in Williamsburg Area w/ Roof,Private room,$55,"Brooklyn, Greenpoint",Andrea,2019-06-15
9783,back room/bunk beds,Private room,$50,"Manhattan, Harlem",Ssameer Or Trip,2019-07-01
10452,Large B&B Style rooms,Private room,$70,"Brooklyn, Bedford-Stuyvesant",Angela,2019-05-12
10962,"Lovely room 2 & garden; Best area, Legal rental",Private room,$89,"Brooklyn, South Slope",Laurie,2019-06-21
11708,Cute apt in artist's home,Entire home/apt,$85,"Brooklyn, Bushwick",Tyrome,2019-06-22
12048,LowerEastSide apt share shortterm 1,shared room,$40,"Manhattan, Lower East Side",Ben,2019-07-05
12192,ENJOY Downtown NYC!,PRIVATE ROOM,$68,"Manhattan, East Village",Edward,2019-06-21
12299,Beautiful Sunny Park Slope Brooklyn,Entire home/apt,$120,"Brooklyn, South Slope",Abdul,2019-05-27
12318,West Side Retreat,Private room,$135,"Manhattan, Upper West Side",Cyn,2019-06-16
12343,BEST BET IN HARLEM,Entire home/apt,$150,"Manhattan, Harlem",Earl,2019-06-13
12627,Entire apartment in central Brooklyn neighborhood.,Entire home/apt,$150,"Brooklyn, Prospect-Lefferts Gardens",Rana,2019-06-05
12937,"1 Stop fr. Manhattan! Private Suite,Landmark Block",private room,$130,"Queens, Long Island City",Orestes,2019-07-01
12940,Charming Brownstone 3 - Near PRATT,Entire home/apt,$110,"Brooklyn, Bedford-Stuyvesant",Adreinne,2019-05-25
13394,Fort Greene brownstone,Private room,$80,"Brooklyn, Fort Greene",Alexander,2019-06-17
13808,Blue Room for 2 in Brownstone for $1350 monthly,Private room,$80,"Brooklyn, Bedford-Stuyvesant",JT And Tiziana,2019-06-16
14287,Cozy 1BD on Central Park West in New York City,Entire home/apt,$151,"Manhattan, Upper West Side",Joya,2019-07-07
14290,* ORIGINAL BROOKLYN LOFT *,entire home/apt,$228,"Brooklyn, Williamsburg",James,2019-05-17
14314,Greenpoint Place...Has It All!,ENTIRE HOME/APT,$144,"Brooklyn, Greenpoint",Jeanne,2019-06-29
